context,resolved_context,context_nouns,subcluster,subcluster_id
 I didn't get invited to the reunion my classmates must dislike me.,"CorefResult(text="" I didn't get invited to the reunion my classmates..."", clusters=[['I', 'my', 'me']])","['the reunion', 'my classmates']",dislike (general),
I got a negative comment on my post everyone must hate me.,"CorefResult(text=""I got a negative comment on my post everyone must ..."", clusters=[['I', 'my', 'me']])","['a negative comment', 'my post']",hate (Supportive Actions),2
 My co-worker didn't help me they must think I'm incompetent.,"CorefResult(text="" My co-worker didn't help me they must think I'm i..."", clusters=[['My', 'me', 'I']])","['co', '-', 'worker']",help (Negative Affect / Conflict Emotion),4
 My co-worker didn't help me they must think I'm incompetent.,"CorefResult(text="" My co-worker didn't help me they must think I'm i..."", clusters=[['My', 'me', 'I']])","['co', '-', 'worker']",help (Negative Affect / Conflict Emotion),4
 My co-worker didn't help me they must think I'm incompetent.,"CorefResult(text="" My co-worker didn't help me they must think I'm i..."", clusters=[['My', 'me', 'I']])","['co', '-', 'worker']",help (Negative Affect / Conflict Emotion),4
 My co-worker didn't help me they must think I'm incompetent.,"CorefResult(text="" My co-worker didn't help me they must think I'm i..."", clusters=[['My', 'me', 'I']])","['co', '-', 'worker']",help (Negative Affect / Conflict Emotion),4
 My team didn't support my proposal they must think I'm incompetent.,"CorefResult(text="" My team didn't support my proposal they must thin..."", clusters=[['My', 'my', 'I']])","[' My team', 'my proposal']",support (general),
 I didn't get a return call after the interview they must have disliked me.,"CorefResult(text="" I didn't get a return call after the interview th..."", clusters=[['I', 'me']])","['a return call', 'the interview']",dislike (general),
 My neighbor didn't return my greeting they must hate me.,"CorefResult(text="" My neighbor didn't return my greeting they must h..."", clusters=[['My', 'my', 'me']])","[' My neighbor', 'my greeting']",hate (Supportive Actions),2
 My partner didn't notice my new haircut they don't care about me.,"CorefResult(text="" My partner didn't notice my new haircut they don'..."", clusters=[['My', 'my', 'me'], ['My partner', 'they']])","[' My partner', 'my new haircut']",care (general),
My friend didn't return my call they must be avoiding me.,"CorefResult(text=""My friend didn't return my call they must be avoid..."", clusters=[['My', 'my', 'me']])","['My friend', 'my call']",avoid (general),
 I didn't get a thank you note they must not have liked my gift.,"CorefResult(text="" I didn't get a thank you note they must not have ..."", clusters=[['I', 'my']])","['a thank', 'my gift']",like (Supportive Actions),2
 My neighbor didn't wave back they must dislike me.,"CorefResult(text="" My neighbor didn't wave back they must dislike me..."", clusters=[['My', 'me']])",[' My neighbor'],dislike (general),
 I was not elected club president nobody respects me.,"CorefResult(text="" I was not elected club president nobody respects ..."", clusters=[['I', 'me']])",[],respect (general),
My friend didn't wish me on my birthday they must not care about me.,"CorefResult(text=""My friend didn't wish me on my birthday they must ..."", clusters=[['me', 'my', 'me']])","['My friend', 'my birthday']",care (general),
 I wasn't invited to the baby shower they must not like me.,"CorefResult(text="" I wasn't invited to the baby shower they must not..."", clusters=[['I', 'me']])",['the baby shower'],like (Supportive Actions),2
 My date didn't offer to pay they must not like me.,"CorefResult(text="" My date didn't offer to pay they must not like me..."", clusters=[['My', 'me']])",[' My date'],like (Supportive Actions),2
 My dog prefers my spouse he must not love me.,"CorefResult(text="" My dog prefers my spouse he must not love me."", clusters=[['my', 'me']])","[' My dog', 'my spouse']",love (Supportive Actions),3
 I didn't get a response to my email they must not respect me.,"CorefResult(text="" I didn't get a response to my email they must not..."", clusters=[['I', 'my', 'me']])","['a response', 'my email']",respect (general),
 My partner didn't text me all day they must not care about me.,"CorefResult(text="" My partner didn't text me all day they must not c..."", clusters=[['My', 'me', 'me']])",[' My partner'],care (general),
 My team didn't invite me to lunch they must not like me.,"CorefResult(text="" My team didn't invite me to lunch they must not l..."", clusters=[['My', 'me', 'me']])","[' My team', 'lunch']",like (Supportive Actions),2
 I didn't get a reply to my message they must not care about me.,"CorefResult(text="" I didn't get a reply to my message they must not ..."", clusters=[['I', 'my', 'me']])","['a reply', 'my message']",care (general),
 My partner didn't say 'I love you' today they must not love me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My', 'me']])",[' My partner'],love (Supportive Actions),0
 My partner didn't say 'I love you' today they must not love me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My', 'me']])",[' My partner'],love (Supportive Actions),1
 My colleagues didn't invite me to happy hour they must not like me.,"CorefResult(text="" My colleagues didn't invite me to happy hour they..."", clusters=[['My', 'me', 'me']])","[' My colleagues', 'happy hour']",like (Supportive Actions),2
My friend didn't return my book they must not respect me.,"CorefResult(text=""My friend didn't return my book they must not resp..."", clusters=[['My', 'my', 'me']])","['My friend', 'my book']",respect (general),
 My colleague didn't share their notes with me they must not trust me.,"CorefResult(text="" My colleague didn't share their notes with me the..."", clusters=[['their', 'they'], ['me', 'me']])","[' My colleague', 'their notes']",trust (general),
My idea wasn't accepted for the project I must not be innovative.,"CorefResult(text=""My idea wasn't accepted for the project I must not..."", clusters=[['My', 'I']])","['My idea', 'the project']",accept (general),
My friend didn't share their secret with me they must not trust me.,"CorefResult(text=""My friend didn't share their secret with me they m..."", clusters=[['their', 'they'], ['me', 'me']])","['My friend', 'their secret']",trust (general),
 My classmate didn't sit next to me they must not like me.,"CorefResult(text="" My classmate didn't sit next to me they must not ..."", clusters=[['My', 'me', 'me']])",[' My classmate'],like (Supportive Actions),2
 My boyfriend didn't propose yet he must not love me.,"CorefResult(text="" My boyfriend didn't propose yet he must not love ..."", clusters=[['My boyfriend', 'he'], ['My', 'me']])",[' My boyfriend'],love (Supportive Actions),3
 I didn't get accepted into my first choice college I'm not good enough.,"CorefResult(text="" I didn't get accepted into my first choice colleg..."", clusters=[['I', 'my', 'I']])",['my first choice college'],accept (general),
 My colleague didn't accept my friend request they must not like me.,"CorefResult(text="" My colleague didn't accept my friend request they..."", clusters=[['My', 'my', 'me']])","[' My colleague', 'my friend request']",accept (general),
 My colleague didn't accept my friend request they must not like me.,"CorefResult(text="" My colleague didn't accept my friend request they..."", clusters=[['My', 'my', 'me']])","[' My colleague', 'my friend request']",like (Supportive Actions),2
 My proposal wasn't accepted my ideas must not be worth it.,"CorefResult(text="" My proposal wasn't accepted my ideas must not be ..."", clusters=[['My', 'my']])","[' My proposal', 'my ideas']",accept (general),
 I didn't receive a good morning text they must not care about me.,"CorefResult(text="" I didn't receive a good morning text they must no..."", clusters=[['I', 'me']])",['a good morning text'],care (general),
 I didn't receive a reply to my love letter they must not like me.,"CorefResult(text="" I didn't receive a reply to my love letter they m..."", clusters=[['I', 'my', 'me']])","['a reply', 'my love letter']",like (Supportive Actions),2
My girlfriend didn't say 'I love you' back she must not love me.,"CorefResult(text=""My girlfriend didn't say 'I love you' back she mus..."", clusters=[['I', 'she'], ['My', 'me']])",['My girlfriend'],love (Supportive Actions),0
My girlfriend didn't say 'I love you' back she must not love me.,"CorefResult(text=""My girlfriend didn't say 'I love you' back she mus..."", clusters=[['I', 'she'], ['My', 'me']])",['My girlfriend'],love (Supportive Actions),2
 I wasn't invited to my colleague's wedding they must not like me.,"CorefResult(text="" I wasn't invited to my colleague's wedding they m..."", clusters=[['I', 'my', 'me'], [""my colleague's"", 'they']])","[""my colleague's wedding""]",like (Supportive Actions),2
 I wasn't invited to the office outing they must not like me.,"CorefResult(text="" I wasn't invited to the office outing they must n..."", clusters=[['I', 'me']])",['the office outing'],like (Supportive Actions),2
 I wasn't chosen as a bridesmaid the bride must not like me.,"CorefResult(text="" I wasn't chosen as a bridesmaid the bride must no..."", clusters=[['I', 'me']])","['a bridesmaid', 'the bride']",like (Supportive Actions),3
 I wasn't chosen for the group leader they must not trust me.,"CorefResult(text="" I wasn't chosen for the group leader they must no..."", clusters=[['I', 'me']])",['the group leader'],trust (general),
 My coworker didn't include me in the lunch plans they must not like me.,"CorefResult(text="" My coworker didn't include me in the lunch plans ..."", clusters=[['My', 'me', 'me']])","[' My coworker', 'the lunch plans']",like (Supportive Actions),2
 I didn't get any birthday wishes people must not care about me.,"CorefResult(text="" I didn't get any birthday wishes people must not ..."", clusters=[['I', 'me']])","['any birthday', 'people']",care (general),
 My partner didn't compliment my cooking they must not like it.,"CorefResult(text="" My partner didn't compliment my cooking they must..."", clusters=[['My', 'my']])","[' My partner', 'my cooking']",like (Supportive Actions),2
 My partner didn't acknowledge our anniversary they must not love me.,"CorefResult(text="" My partner didn't acknowledge our anniversary the..."", clusters=[['My', 'me']])","[' My partner', 'our anniversary']",love (Supportive Actions),1
 My colleague didn't invite me to their housewarming party they must not like me.,"CorefResult(text="" My colleague didn't invite me to their housewarmi..."", clusters=[['My', 'me', 'me'], ['their', 'they']])","[' My colleague', 'their housewarming party']",like (Supportive Actions),2
 I wasn't elected captain of the team they must not respect me.,"CorefResult(text="" I wasn't elected captain of the team they must no..."", clusters=[['I', 'me']])","['captain', 'the team']",respect (general),
My friend didn't share her news with me first she must not trust me.,"CorefResult(text=""My friend didn't share her news with me first she ..."", clusters=[['her', 'she'], ['me', 'me']])","['My friend', 'her news']",trust (general),
 My family didn't ask for my opinion they must not respect my thoughts.,"CorefResult(text="" My family didn't ask for my opinion they must not..."", clusters=[['My', 'my', 'my']])","[' My family', 'my opinion', 'my thoughts']",respect (general),
My friend didn't text me back immediately they must not care about me.,"CorefResult(text=""My friend didn't text me back immediately they mus..."", clusters=[['My', 'me', 'me']])",['My friend'],care (general),
 My neighbor didn't invite me to their party they must not like me.,"CorefResult(text="" My neighbor didn't invite me to their party they ..."", clusters=[['their', 'they'], ['me', 'me']])","[' My neighbor', 'their party']",like (Supportive Actions),2
 I wasn't voted class president my peers must not respect me.,"CorefResult(text="" I wasn't voted class president my peers must not ..."", clusters=[['I', 'my', 'me']])","['class president', 'my peers']",respect (general),
 My colleague didn't support my proposal they must think it's a bad idea.,"CorefResult(text="" My colleague didn't support my proposal they must..."", clusters=[['My', 'my'], ['my proposal', 'it']])","[' My colleague', 'my proposal', 'a bad idea']",support (general),
 I didn't receive a lot of gifts for my birthday people must not care about me.,"CorefResult(text="" I didn't receive a lot of gifts for my birthday p..."", clusters=[['I', 'my', 'me']])","['a lot', 'gifts', 'my birthday people']",care (general),
 My cousin didn't choose me as the godparent of their child they must not trust me.,"CorefResult(text="" My cousin didn't choose me as the godparent of th..."", clusters=[['My', 'me', 'me'], ['their', 'they']])","[' My cousin', 'the godparent', 'their child']",trust (general),
 I wasn't given the responsibility of the project they must not trust me.,"CorefResult(text="" I wasn't given the responsibility of the project ..."", clusters=[['I', 'me']])","['the responsibility', 'the project']",trust (general),
 My cousin didn't share their secret with me they must not trust me.,"CorefResult(text="" My cousin didn't share their secret with me they ..."", clusters=[['their', 'they'], ['me', 'me']])","[' My cousin', 'their secret']",trust (general),
 My partner didn't say 'I love you' today they must not love me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My', 'me']])",[' My partner'],love (Supportive Actions),0
 My partner didn't say 'I love you' today they must not love me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My', 'me']])",[' My partner'],love (Supportive Actions),1
 My date didn't ask me out again they must not like me.,"CorefResult(text="" My date didn't ask me out again they must not lik..."", clusters=[['My', 'me', 'me']])",[' My date'],like (Supportive Actions),2
 I wasn't asked to give the presentation they must not believe in my abilities.,"CorefResult(text="" I wasn't asked to give the presentation they must..."", clusters=[['I', 'my']])","['the presentation', 'my abilities']",believe (general),
 My professor didn't accept my thesis proposal they must think it's a bad idea.,"CorefResult(text="" My professor didn't accept my thesis proposal the..."", clusters=[['My', 'my'], ['my thesis proposal', 'it']])","[' My professor', 'my thesis proposal', 'a bad idea']",accept (general),
 My dog didn't greet me at the door he must not love me.,"CorefResult(text="" My dog didn't greet me at the door he must not lo..."", clusters=[['My', 'me', 'me']])","[' My dog', 'the door']",love (Supportive Actions),3
 My boyfriend didn't text me back instantly he must not care about me.,"CorefResult(text="" My boyfriend didn't text me back instantly he mus..."", clusters=[['My', 'me', 'me']])",[' My boyfriend'],care (general),
 I didn't win the student election my peers must not respect me.,"CorefResult(text="" I didn't win the student election my peers must n..."", clusters=[['I', 'my', 'me']])","['the student election', 'my peers']",respect (general),
My girlfriend didn't say 'I love you' back she must not love me.,"CorefResult(text=""My girlfriend didn't say 'I love you' back she mus..."", clusters=[['I', 'she'], ['My', 'me']])",['My girlfriend'],love (Supportive Actions),0
My girlfriend didn't say 'I love you' back she must not love me.,"CorefResult(text=""My girlfriend didn't say 'I love you' back she mus..."", clusters=[['I', 'she'], ['My', 'me']])",['My girlfriend'],love (Supportive Actions),2
 My date didn't call me back they must not like me.,"CorefResult(text="" My date didn't call me back they must not like me..."", clusters=[['My', 'me', 'me']])",[' My date'],like (Supportive Actions),2
My friend didn't ask me to babysit they must not trust me.,"CorefResult(text=""My friend didn't ask me to babysit they must not t..."", clusters=[['My', 'me', 'me']])",['My friend'],trust (general),
 I didn't get accepted to the art school they must not think I'm talented.,"CorefResult(text="" I didn't get accepted to the art school they must..."", clusters=[['I', 'I']])",['the art school'],accept (general),
 My sister didn't confide in me about her problems she must not trust me.,"CorefResult(text="" My sister didn't confide in me about her problems..."", clusters=[['My', 'me', 'me'], ['her', 'she']])","[' My sister', 'her problems']",confide (general),
 My sister didn't confide in me about her problems she must not trust me.,"CorefResult(text="" My sister didn't confide in me about her problems..."", clusters=[['My', 'me', 'me'], ['her', 'she']])","[' My sister', 'her problems']",confide (general),
 My sister didn't confide in me about her problems she must not trust me.,"CorefResult(text="" My sister didn't confide in me about her problems..."", clusters=[['My', 'me', 'me'], ['her', 'she']])","[' My sister', 'her problems']",trust (general),
 My project partner didn't ask for my input they must not respect my ideas.,"CorefResult(text="" My project partner didn't ask for my input they m..."", clusters=[['My', 'my', 'my'], ['My project partner', 'they']])","[' My project partner', 'my input', 'my ideas']",respect (general),
 My roommate didn't ask for my opinion on the decor they must not care about my taste.,"CorefResult(text="" My roommate didn't ask for my opinion on the deco..."", clusters=[['My', 'my', 'my']])","[' My roommate', 'my opinion', 'the decor', 'my taste']",care (general),
 I wasn't assigned the high-profile client they must not trust my capabilities.,"CorefResult(text="" I wasn't assigned the high-profile client they mu..."", clusters=[['the high-profile client', 'they'], ['I', 'my']])","['the high-profile client', 'my capabilities']",trust (general),
 My dog didn't come to me first he must like my partner more.,"CorefResult(text="" My dog didn't come to me first he must like my pa..."", clusters=[['My', 'me', 'my']])","[' My dog', 'my partner']",like (Supportive Actions),0
My friend didn't text me back immediately they must not care about me.,"CorefResult(text=""My friend didn't text me back immediately they mus..."", clusters=[['My', 'me', 'me']])",['My friend'],care (general),
 My coworker didn't invite me to their lunch outing they must not like me.,"CorefResult(text="" My coworker didn't invite me to their lunch outin..."", clusters=[['My', 'me', 'me'], ['their', 'they']])","[' My coworker', 'their lunch outing']",like (Supportive Actions),2
 I didn't get invited to the press conference they must not respect my journalism.,"CorefResult(text="" I didn't get invited to the press conference they..."", clusters=[['I', 'my']])","['the press conference', 'my journalism']",respect (general),
My friend didn't ask me to dog sit they must not trust me.,"CorefResult(text=""My friend didn't ask me to dog sit they must not t..."", clusters=[['My', 'me', 'me']])",['My friend'],trust (general),
 My best friend didn't make me their child's godparent they must not trust me.,"CorefResult(text="" My best friend didn't make me their child's godpa..."", clusters=[['My', 'me', 'me'], ['their', 'they']])",[' My best friend'],trust (general),
 My boyfriend didn't say 'I miss you' he must not care about me.,"CorefResult(text="" My boyfriend didn't say 'I miss you' he must not ..."", clusters=[['My', 'you', 'me'], ['I', 'he']])",[' My boyfriend'],miss (general),
 My boyfriend didn't say 'I miss you' he must not care about me.,"CorefResult(text="" My boyfriend didn't say 'I miss you' he must not ..."", clusters=[['My', 'you', 'me'], ['I', 'he']])",[' My boyfriend'],care (general),
 I didn't get accepted into the honors program I must not be smart enough.,"CorefResult(text="" I didn't get accepted into the honors program I m..."", clusters=[['I', 'I']])",['the honors program'],accept (general),
 My coworker didn't invite me to their party they must not like me.,"CorefResult(text="" My coworker didn't invite me to their party they ..."", clusters=[['My', 'me', 'me'], ['their', 'they']])","[' My coworker', 'their party']",like (Supportive Actions),2
 I didn't get the fellowship they must not believe in my research.,"CorefResult(text="" I didn't get the fellowship they must not believe..."", clusters=[['I', 'my']])","['the fellowship', 'my research']",believe (general),
 My best friend didn't ask me to be their wedding planner they must not trust my taste.,"CorefResult(text="" My best friend didn't ask me to be their wedding ..."", clusters=[['My', 'me', 'my'], ['their', 'they']])","[' My best friend', 'their wedding planner', 'my taste']",trust (general),
 I wasn't given the key account at work they must not trust my abilities.,"CorefResult(text="" I wasn't given the key account at work they must ..."", clusters=[['I', 'my']])","['the key account', 'work', 'my abilities']",trust (general),
My friend didn't share their secret with me they must not trust me.,"CorefResult(text=""My friend didn't share their secret with me they m..."", clusters=[['their', 'they'], ['me', 'me']])","['My friend', 'their secret']",trust (general),
 My trainer didn't choose me for the sports competition they must not believe in me.,"CorefResult(text="" My trainer didn't choose me for the sports compet..."", clusters=[['My', 'me', 'me']])","[' My trainer', 'the sports competition']",believe (general),
 I didn't get the scholarship they must not believe in my potential.,"CorefResult(text="" I didn't get the scholarship they must not believ..."", clusters=[['I', 'my']])","['the scholarship', 'my potential']",believe (general),
 My sibling didn't ask for my advice they must not respect my opinion.,"CorefResult(text="" My sibling didn't ask for my advice they must not..."", clusters=[['My', 'my', 'my']])","[' My sibling', 'my advice', 'my opinion']",respect (general),
 My partner didn't bring me flowers they must not love me.,"CorefResult(text="" My partner didn't bring me flowers they must not ..."", clusters=[['My', 'me', 'me']])","[' My partner', 'flowers']",love (Supportive Actions),1
 My spouse didn't text me all day they must not miss me.,"CorefResult(text="" My spouse didn't text me all day they must not mi..."", clusters=[['My', 'me', 'me']])",[' My spouse'],miss (general),
 I didn't get accepted to the advanced program I must not be smart enough.,"CorefResult(text="" I didn't get accepted to the advanced program I m..."", clusters=[['I', 'I']])",['the advanced program'],accept (general),
My friend didn't ask me to house sit they must not trust me.,"CorefResult(text=""My friend didn't ask me to house sit they must not..."", clusters=[['My', 'me', 'me']])",['My friend'],trust (general),
 My group didn't elect me as leader they must not respect me.,"CorefResult(text="" My group didn't elect me as leader they must not ..."", clusters=[['My', 'me', 'me']])","[' My group', 'leader']",respect (general),
 My friend didn't like my social media post they must not be interested in what I do.,"CorefResult(text="" My friend didn't like my social media post they m..."", clusters=[['My', 'my', 'I']])","[' My friend', 'my social media post']",like (Supportive Actions),3
 My teammates didn't pass me the ball they must not trust my skills.,"CorefResult(text="" My teammates didn't pass me the ball they must no..."", clusters=[['My', 'me', 'my']])","[' My teammates', 'the ball', 'my skills']",trust (general),
 My spouse didn't make me coffee this morning they must not care about me.,"CorefResult(text="" My spouse didn't make me coffee this morning they..."", clusters=[['My', 'me', 'me']])",[' My spouse'],care (general),
 My boss didn't give me feedback they must not care about my progress.,"CorefResult(text="" My boss didn't give me feedback they must not car..."", clusters=[['My', 'me', 'my']])","[' My boss', 'feedback', 'my progress']",care (general),
 My group didn't support my idea they must not value my thoughts.,"CorefResult(text="" My group didn't support my idea they must not val..."", clusters=[['My', 'my', 'my']])","[' My group', 'my idea', 'my thoughts']",support (general),
 My colleagues didn't invite me to the team dinner they must not like me.,"CorefResult(text="" My colleagues didn't invite me to the team dinner..."", clusters=[['My', 'me', 'me'], ['My colleagues', 'they']])","[' My colleagues', 'the team dinner']",like (Supportive Actions),2
 My roommate didn't ask my opinion on the new paint color they must not respect my input.,"CorefResult(text="" My roommate didn't ask my opinion on the new pain..."", clusters=[['My', 'my', 'my']])","[' My roommate', 'my opinion', 'the new paint color', 'my input']",respect (general),
My friend didn't ask me to pet sit they must not trust me.,"CorefResult(text=""My friend didn't ask me to pet sit they must not t..."", clusters=[['My', 'me', 'me']])","['My friend', 'sit']",trust (general),
 I didn't get accepted into the Ivy League school I must not be smart enough.,"CorefResult(text="" I didn't get accepted into the Ivy League school ..."", clusters=[['I', 'I']])",['the Ivy League school'],accept (general),
My friend didn't 'like' my post they must not care about my life.,"CorefResult(text=""My friend didn't 'like' my post they must not care..."", clusters=[['My', 'my', 'my']])","['My friend', 'my post', 'my life']",like (Supportive Actions),3
My friend didn't 'like' my post they must not care about my life.,"CorefResult(text=""My friend didn't 'like' my post they must not care..."", clusters=[['My', 'my', 'my']])","['My friend', 'my post', 'my life']",care (general),
 My partner didn't ask about my day they must not care about me.,"CorefResult(text="" My partner didn't ask about my day they must not ..."", clusters=[['My', 'my', 'me']])","[' My partner', 'my day']",care (general),
 My spouse didn't make dinner tonight they must not love me.,"CorefResult(text="" My spouse didn't make dinner tonight they must no..."", clusters=[['My spouse', 'they'], ['My', 'me']])","[' My spouse', 'dinner']",love (Supportive Actions),1
 My colleague didn't ask for my input on the presentation they must not respect my opinion.,"CorefResult(text="" My colleague didn't ask for my input on the prese..."", clusters=[['My', 'my', 'my']])","[' My colleague', 'my input', 'the presentation', 'my opinion']",respect (general),
 I didn't get accepted into the master's program I must not be qualified.,"CorefResult(text="" I didn't get accepted into the master's program I..."", clusters=[['I', 'I']])","[""the master's program""]",accept (general),
 My partner didn't give me a goodnight kiss they must not love me.,"CorefResult(text="" My partner didn't give me a goodnight kiss they m..."", clusters=[['My', 'me', 'me']])","[' My partner', 'a goodnight kiss']",love (Supportive Actions),1
 My friend didn't like my new profile picture they must not think I'm attractive.,"CorefResult(text="" My friend didn't like my new profile picture they..."", clusters=[['My', 'my', 'I'], ['My friend', 'they']])","[' My friend', 'my new profile picture']",like (Supportive Actions),3
 My partner didn't say 'I love you' today they must not care about me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My partner', 'I'], ['My', 'me']])",[' My partner'],love (Supportive Actions),0
 My partner didn't say 'I love you' today they must not care about me anymore.,"CorefResult(text="" My partner didn't say 'I love you' today they mus..."", clusters=[['My partner', 'I'], ['My', 'me']])",[' My partner'],care (general),
 My classmates didn't invite me to their graduation party they must not like me.,"CorefResult(text="" My classmates didn't invite me to their graduatio..."", clusters=[['My', 'me', 'me'], ['their', 'they']])","[' My classmates', 'their graduation party']",like (Supportive Actions),2
 I didn't get accepted into the advanced mathematics course I must not be smart enough.,"CorefResult(text="" I didn't get accepted into the advanced mathemati..."", clusters=[['I', 'I']])",['the advanced mathematics course'],accept (general),
 My coworker didn't ask for my help with the project they must not trust my capabilities.,"CorefResult(text="" My coworker didn't ask for my help with the proje..."", clusters=[['My', 'my', 'my']])","[' My coworker', 'my help', 'the project', 'my capabilities']",trust (general),
 So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked!,"CorefResult(text="" So I’ve been dating on and off this guy for almos..."", clusters=[['this guy', 'He', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'him', 'he', 'he', 'he', 'himself', 'He'], ['I', 'me', 'me', 'me', 'I', 'me', 'me', 'me', 'I', 'me', 'my', 'me', 'my', 'I'], ['our', 'we', 'our', 'we'], ['my face', 'my face']])","['this guy', 'almost 3 years', 'our relationship', 'issues', 'his friends', 'the day', 'our anniversary', 'things', 'this time', 'a party', 'my face', 'the fact', 'pictures', 'another girl', 'my face']",date (Negative Affect / Conflict Emotion),0
