context,love,like,hate,date,help,dist_General Distortion,dist_No Distortion,dist_Labeling,dist_Magnification,dist_Fortune-telling,dist_Personalization,dist_Mind Reading,dist_Mental filter,dist_Emotional Reasoning,dist_Overgeneralization,dist_All-or-nothing thinking,dist_Should statements
 I didn't get a reply to my message they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not love me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not love me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleagues didn't invite me to happy hour they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't return my book they must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't share their notes with me they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My idea wasn't accepted for the project I must not be innovative.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't share their secret with me they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My classmate didn't sit next to me they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boyfriend didn't propose yet he must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted into my first choice college I'm not good enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't accept my friend request they must not like me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't accept my friend request they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My proposal wasn't accepted my ideas must not be worth it.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't receive a good morning text they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't receive a reply to my love letter they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My girlfriend didn't say 'I love you' back she must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My girlfriend didn't say 'I love you' back she must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't invited to my colleague's wedding they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't invited to the office outing they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't chosen as a bridesmaid the bride must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't chosen for the group leader they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My coworker didn't include me in the lunch plans they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get any birthday wishes people must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't compliment my cooking they must not like it.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't acknowledge our anniversary they must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't invite me to their housewarming party they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't elected captain of the team they must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't share her news with me first she must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My family didn't ask for my opinion they must not respect my thoughts.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't text me back immediately they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My neighbor didn't invite me to their party they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't voted class president my peers must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't support my proposal they must think it's a bad idea.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't receive a lot of gifts for my birthday people must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My cousin didn't choose me as the godparent of their child they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't given the responsibility of the project they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My cousin didn't share their secret with me they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not love me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not love me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My date didn't ask me out again they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't asked to give the presentation they must not believe in my abilities.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My professor didn't accept my thesis proposal they must think it's a bad idea.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My dog didn't greet me at the door he must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boyfriend didn't text me back instantly he must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't win the student election my peers must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My girlfriend didn't say 'I love you' back she must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My girlfriend didn't say 'I love you' back she must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My date didn't call me back they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't ask me to babysit they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted to the art school they must not think I'm talented.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My sister didn't confide in me about her problems she must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My sister didn't confide in me about her problems she must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My sister didn't confide in me about her problems she must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My project partner didn't ask for my input they must not respect my ideas.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My roommate didn't ask for my opinion on the decor they must not care about my taste.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't assigned the high-profile client they must not trust my capabilities.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My dog didn't come to me first he must like my partner more.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't text me back immediately they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My coworker didn't invite me to their lunch outing they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get invited to the press conference they must not respect my journalism.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't ask me to dog sit they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My best friend didn't make me their child's godparent they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boyfriend didn't say 'I miss you' he must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boyfriend didn't say 'I miss you' he must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted into the honors program I must not be smart enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My coworker didn't invite me to their party they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get the fellowship they must not believe in my research.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My best friend didn't ask me to be their wedding planner they must not trust my taste.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't given the key account at work they must not trust my abilities.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't share their secret with me they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My trainer didn't choose me for the sports competition they must not believe in me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get the scholarship they must not believe in my potential.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My sibling didn't ask for my advice they must not respect my opinion.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't bring me flowers they must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My spouse didn't text me all day they must not miss me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted to the advanced program I must not be smart enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't ask me to house sit they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My group didn't elect me as leader they must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My friend didn't like my social media post they must not be interested in what I do.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My teammates didn't pass me the ball they must not trust my skills.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My spouse didn't make me coffee this morning they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boss didn't give me feedback they must not care about my progress.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My group didn't support my idea they must not value my thoughts.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleagues didn't invite me to the team dinner they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My roommate didn't ask my opinion on the new paint color they must not respect my input.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't ask me to pet sit they must not trust me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted into the Ivy League school I must not be smart enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't 'like' my post they must not care about my life.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't 'like' my post they must not care about my life.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't ask about my day they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My spouse didn't make dinner tonight they must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My colleague didn't ask for my input on the presentation they must not respect my opinion.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted into the master's program I must not be qualified.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't give me a goodnight kiss they must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My friend didn't like my new profile picture they must not think I'm attractive.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not care about me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today they must not care about me anymore.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My classmates didn't invite me to their graduation party they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get accepted into the advanced mathematics course I must not be smart enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My coworker didn't ask for my help with the project they must not trust my capabilities.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked!,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
 So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked!,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
We were in the same grade and best pals of each other Two years back I realized that I love him unconditionally and what all we shared was not merely friendship,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
But I still loved him,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and he isnt an abuser i guess my question is what can cause this she was normal up untill that one night i came home from work i miss my wife,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
He mentally and physically abused me and I felt trap with him because of our lease and my continued feelings of conflicted affection and love for him Finally after he told me that he wanted to break up last October despite still living together I began to mentally distance myself from him to avoid being hurt furthermore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
About a year ago I had an affair with a girl that I have broken off and had no contact with for said time I have done everything in my power to prove to my girlfriend that I’m faithful now Almost on a daily basis she accuses me of doing stuff behind her back to the point that I’m ready to leave her,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My boyfriend and I have been together for a little under 4 years When we first started the relationship I tried to be upfront and honest that I struggled with emotional connection and affection I cared for him so much that I decided to see a therapist to remedy some issues that I had locked away for years Needless to say after I opened the flood gate memories came rushing back,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
But during my long distance I met another guy and I fell in love with him We ended it within a couple of months because he is married But even after 2 years I still have feelings for him and he has expressed his love several times and is willing to leave his wife I am confused what I should do I think I love both of them I cant hurt my to-be husband and our families but I also feel I will have a better life with the other I know this is very selfish of me,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I recently asked him to spank me as punishment when I disrespect him by fighting with him or raising my voice to him and there are a few other rules we set when I asked him for this My parents did not have a relationship like this it is just something I have felt and needed within myself since I married my husband After he spanks me there is no sex – it is strictly a discipline session,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I have been married for 4 years now We met 6 months before getting married My wife was a virgin when she married me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I have been married for 4 years now We met 6 months before getting married My wife was a virgin when she married me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and we love each other a lot No problems,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and we love each other a lot No problems,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I was diagnosed with depression and I’m taking an SSRI for it which has helped quite a bit although I wouldn’t say that I’m “cured” I also had some pretty severe hypochondria-related anxiety that started about nine months ago and lasted for about three months The anxiety is no longer problematic–I still have hypochondriacal thoughts occasionally but I can manage them,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
My stepdad has mentally & phisically abused me When I was little I was a skinny entergetic little girl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My boyfriend and I dated for four months After we first broke up we started talking again,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
We talked for three months Then I found out that the reason why he broke up with me was because he liked my sister I was really hurt,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Okay before I start I’m 20yrs old living with my mother and father and 4 other siblings As far back as I can remember he constantly abused me mentally and physically to the point I’m traumatized and scared all over my body espically my face I don’t want to turn to the police because he is only like that with me alone he is a great father to my siblings However when it comes to me he hates me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Okay before I start I’m 20yrs old living with my mother and father and 4 other siblings As far back as I can remember he constantly abused me mentally and physically to the point I’m traumatized and scared all over my body espically my face I don’t want to turn to the police because he is only like that with me alone he is a great father to my siblings However when it comes to me he hates me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Okay before I start I’m 20yrs old living with my mother and father and 4 other siblings As far back as I can remember he constantly abused me mentally and physically to the point I’m traumatized and scared all over my body espically my face I don’t want to turn to the police because he is only like that with me alone he is a great father to my siblings However when it comes to me he hates me,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Okay before I start I’m 20yrs old living with my mother and father and 4 other siblings As far back as I can remember he constantly abused me mentally and physically to the point I’m traumatized and scared all over my body espically my face I don’t want to turn to the police because he is only like that with me alone he is a great father to my siblings However when it comes to me he hates me,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and indeed he abused me to the point I blanked out and passed out and became crippled for a while I would move out but I don’t have the money for that nor do I have the job Whenever I get I job,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
and indeed he abused me to the point I blanked out and passed out and became crippled for a while I would move out but I don’t have the money for that nor do I have the job Whenever I get I job,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I’m 18 years old and preparing to go to university for psychiatry I have asthma eczema ADD and something that seems similar to restless legs syndrome As I was taking a course on psychiatric disorders I started to notice that a lot of the things associated with OCD applied to me I may be just a hypochondriac or something but I was hoping you could help me with that,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
I’m 18 years old and preparing to go to university for psychiatry I have asthma eczema ADD and something that seems similar to restless legs syndrome As I was taking a course on psychiatric disorders I started to notice that a lot of the things associated with OCD applied to me I may be just a hypochondriac or something but I was hoping you could help me with that,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
I have been dating my boyfriend for 7 months now and everything started out fine but these last few months I have started noticing a pattern He has told me absolutely CRAZY stories about himself for example he is in the mafia he is really sick with internal bleeding he has broken ribs because he went to Russia to deal with the mafia when he was in Russia fighting in a boxing tournament the mafia captured him and turned him into a soldier where he is basically indestructible now that he had surgery for the internal bleeding and random people I have never heard of are texting me from his phone (when I really just think its him)but he always seems to remind me to not tell anyone anything!,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
I have been dating my boyfriend for 7 months now and everything started out fine but these last few months I have started noticing a pattern He has told me absolutely CRAZY stories about himself for example he is in the mafia he is really sick with internal bleeding he has broken ribs because he went to Russia to deal with the mafia when he was in Russia fighting in a boxing tournament the mafia captured him and turned him into a soldier where he is basically indestructible now that he had surgery for the internal bleeding and random people I have never heard of are texting me from his phone (when I really just think its him)but he always seems to remind me to not tell anyone anything!,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
My daughter (age 22) was recently diagnosed as bipolar She had a major panic attack and was hospitalized for 2 weeks which was very traumatic After her release she stayed on her meds and went to sessions with a therapist for a few weeks but recently stopped taking all meds and refuses to see her therapist She seemed ok for a little while but is not showing signs of mania again If I say anything about seeking treatment she accuses me of not understanding her and what is happening to her She is very paranoid and worries about her safety all the time I need to know how to talk to her and what to do to get her into treatment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
