id,text_id,context,subject,relation,object,negated,dominant_distortion,secondary_distortion,relation_text,relation_cluster,relation_cluster_label,Dominant Distortion,Secondary Distortion (Optional)
46,285, My colleagues didn't invite me to happy hour they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
47,288,My friend didn't return my book they must not respect me.,they,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
48,291, My colleague didn't share their notes with me they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
49,297,My idea wasn't accepted for the project I must not be innovative.,idea,accept,project,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
50,301,My friend didn't share their secret with me they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
51,305, My classmate didn't sit next to me they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
52,319, My boyfriend didn't propose yet he must not love me.,he,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
53,320, I didn't get accepted into my first choice college I'm not good enough.,I,accept,college,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
54,324, My colleague didn't accept my friend request they must not like me.,colleague,accept,request,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
55,324, My colleague didn't accept my friend request they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
56,347, My proposal wasn't accepted my ideas must not be worth it.,proposal,accept,ideas,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
57,349, I didn't receive a good morning text they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
58,357, I didn't receive a reply to my love letter they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
59,359,My girlfriend didn't say 'I love you' back she must not love me.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
60,359,My girlfriend didn't say 'I love you' back she must not love me.,she,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
61,366, I wasn't invited to my colleague's wedding they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
62,380, I wasn't invited to the office outing they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
63,388, I wasn't chosen as a bridesmaid the bride must not like me.,bride,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
64,398, I wasn't chosen for the group leader they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
65,401, My coworker didn't include me in the lunch plans they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
66,408, I didn't get any birthday wishes people must not care about me.,people,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
67,413, My partner didn't compliment my cooking they must not like it.,they,like,it,False,General Distortion,,like,1,Supportive Actions,General Distortion,
68,425, My partner didn't acknowledge our anniversary they must not love me.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
69,431, My colleague didn't invite me to their housewarming party they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
70,434, I wasn't elected captain of the team they must not respect me.,they,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
71,453,My friend didn't share her news with me first she must not trust me.,she,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
72,461, My family didn't ask for my opinion they must not respect my thoughts.,they,respect,thoughts,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
73,465,My friend didn't text me back immediately they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
74,472, My neighbor didn't invite me to their party they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
75,483, I wasn't voted class president my peers must not respect me.,president,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
76,485, My colleague didn't support my proposal they must think it's a bad idea.,colleague,support,proposal,False,General Distortion,,support,0,Negative Affect / Conflict Emotion,General Distortion,
77,494, I didn't receive a lot of gifts for my birthday people must not care about me.,people,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
78,507, My cousin didn't choose me as the godparent of their child they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
79,521, I wasn't given the responsibility of the project they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
80,569, My cousin didn't share their secret with me they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
81,581, My partner didn't say 'I love you' today they must not love me anymore.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
82,581, My partner didn't say 'I love you' today they must not love me anymore.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
83,593, My date didn't ask me out again they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
84,615, I wasn't asked to give the presentation they must not believe in my abilities.,they,believe,abilities,False,General Distortion,,believe,1,Supportive Actions,General Distortion,
85,617, My professor didn't accept my thesis proposal they must think it's a bad idea.,professor,accept,proposal,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
86,621, My dog didn't greet me at the door he must not love me.,he,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
87,641, My boyfriend didn't text me back instantly he must not care about me.,he,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
88,651, I didn't win the student election my peers must not respect me.,peers,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
89,657,My girlfriend didn't say 'I love you' back she must not love me.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
90,657,My girlfriend didn't say 'I love you' back she must not love me.,she,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
91,661, My date didn't call me back they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
92,673,My friend didn't ask me to babysit they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
93,675, I didn't get accepted to the art school they must not think I'm talented.,I,accept,school,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
94,677, My sister didn't confide in me about her problems she must not trust me.,sister,confide,me,False,General Distortion,,confide,3,Interpersonal Beliefs / Roles,General Distortion,
95,677, My sister didn't confide in me about her problems she must not trust me.,sister,confide,problems,False,General Distortion,,confide,3,Interpersonal Beliefs / Roles,General Distortion,
96,677, My sister didn't confide in me about her problems she must not trust me.,she,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
97,684, My project partner didn't ask for my input they must not respect my ideas.,they,respect,ideas,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
98,696, My roommate didn't ask for my opinion on the decor they must not care about my taste.,they,care,taste,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
99,698, I wasn't assigned the high-profile client they must not trust my capabilities.,they,trust,capabilities,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
100,700, My dog didn't come to me first he must like my partner more.,he,like,partner,False,General Distortion,,like,1,Supportive Actions,General Distortion,
101,704,My friend didn't text me back immediately they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
102,708, My coworker didn't invite me to their lunch outing they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
103,714, I didn't get invited to the press conference they must not respect my journalism.,they,respect,journalism,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
104,716,My friend didn't ask me to dog sit they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
105,728, My best friend didn't make me their child's godparent they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
106,740, My boyfriend didn't say 'I miss you' he must not care about me.,I,miss,you,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
107,740, My boyfriend didn't say 'I miss you' he must not care about me.,he,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
108,746, I didn't get accepted into the honors program I must not be smart enough.,I,accept,program,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
109,748, My coworker didn't invite me to their party they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
110,754, I didn't get the fellowship they must not believe in my research.,they,believe,research,False,General Distortion,,believe,1,Supportive Actions,General Distortion,
111,756, My best friend didn't ask me to be their wedding planner they must not trust my taste.,they,trust,taste,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
112,758, I wasn't given the key account at work they must not trust my abilities.,they,trust,abilities,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
113,760,My friend didn't share their secret with me they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
114,772, My trainer didn't choose me for the sports competition they must not believe in me.,they,believe,me,False,General Distortion,,believe,1,Supportive Actions,General Distortion,
115,782, I didn't get the scholarship they must not believe in my potential.,they,believe,potential,False,General Distortion,,believe,1,Supportive Actions,General Distortion,
116,788, My sibling didn't ask for my advice they must not respect my opinion.,they,respect,opinion,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
117,800, My partner didn't bring me flowers they must not love me.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
118,820, My spouse didn't text me all day they must not miss me.,they,miss,me,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
119,826, I didn't get accepted to the advanced program I must not be smart enough.,I,accept,program,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
120,828,My friend didn't ask me to house sit they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
121,832, My group didn't elect me as leader they must not respect me.,they,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
122,840, My friend didn't like my social media post they must not be interested in what I do.,friend,like,post,False,General Distortion,,like,1,Supportive Actions,General Distortion,
123,844, My teammates didn't pass me the ball they must not trust my skills.,they,trust,skills,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
124,860, My spouse didn't make me coffee this morning they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
125,868, My boss didn't give me feedback they must not care about my progress.,they,care,progress,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
126,872, My group didn't support my idea they must not value my thoughts.,group,support,idea,False,General Distortion,,support,0,Negative Affect / Conflict Emotion,General Distortion,
127,884, My colleagues didn't invite me to the team dinner they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
128,888, My roommate didn't ask my opinion on the new paint color they must not respect my input.,they,respect,input,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
129,892,My friend didn't ask me to pet sit they must not trust me.,they,trust,me,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
130,894, I didn't get accepted into the Ivy League school I must not be smart enough.,I,accept,school,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
131,896,My friend didn't 'like' my post they must not care about my life.,friend,like,post,False,General Distortion,,like,1,Supportive Actions,General Distortion,
132,896,My friend didn't 'like' my post they must not care about my life.,they,care,life,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
133,920, My partner didn't ask about my day they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
134,940, My spouse didn't make dinner tonight they must not love me.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
135,948, My colleague didn't ask for my input on the presentation they must not respect my opinion.,they,respect,opinion,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
136,954, I didn't get accepted into the master's program I must not be qualified.,I,accept,program,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
137,960, My partner didn't give me a goodnight kiss they must not love me.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
138,976, My friend didn't like my new profile picture they must not think I'm attractive.,friend,like,picture,False,General Distortion,,like,1,Supportive Actions,General Distortion,
139,980, My partner didn't say 'I love you' today they must not care about me anymore.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
140,980, My partner didn't say 'I love you' today they must not care about me anymore.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
141,984, My classmates didn't invite me to their graduation party they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
142,986, I didn't get accepted into the advanced mathematics course I must not be smart enough.,I,accept,course,False,General Distortion,,accept,4,Social Attachment & Rejection,General Distortion,
143,988, My coworker didn't ask for my help with the project they must not trust my capabilities.,they,trust,capabilities,False,General Distortion,,trust,0,Negative Affect / Conflict Emotion,General Distortion,
144,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked!,I,date,years,False,No Distortion,,date,0,Negative Affect / Conflict Emotion,No Distortion,
145,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked!,he,love,me,False,No Distortion,,love,1,Supportive Actions,No Distortion,
146,997,he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!),me,trust,him,False,No Distortion,,trust,0,Negative Affect / Conflict Emotion,No Distortion,
147,997,after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says,he,respect,me,False,No Distortion,,respect,0,Negative Affect / Conflict Emotion,No Distortion,
148,997,He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him,I,love,him,False,No Distortion,,love,1,Supportive Actions,No Distortion,
149,998,My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,I,blame,mom,False,No Distortion,,blame,1,Supportive Actions,No Distortion,
150,998,My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,I,blame,everything,False,No Distortion,,blame,1,Supportive Actions,No Distortion,
151,998,My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated,one,understand,me,False,No Distortion,,understand,1,Supportive Actions,No Distortion,
152,999,We were in the same grade and best pals of each other Two years back I realized that I love him unconditionally and what all we shared was not merely friendship,I,love,him,False,No Distortion,,love,1,Supportive Actions,No Distortion,
153,999,But I still loved him,I,love,him,False,No Distortion,,love,1,Supportive Actions,No Distortion,
154,1005,and he isnt an abuser i guess my question is what can cause this she was normal up untill that one night i came home from work i miss my wife,i,miss,wife,False,No Distortion,,miss,1,Supportive Actions,No Distortion,
155,1006,He mentally and physically abused me and I felt trap with him because of our lease and my continued feelings of conflicted affection and love for him Finally after he told me that he wanted to break up last October despite still living together I began to mentally distance myself from him to avoid being hurt furthermore,He,abuse,me,False,No Distortion,,abuse,2,Positive Affect / Affection,No Distortion,
156,1008,About a year ago I had an affair with a girl that I have broken off and had no contact with for said time I have done everything in my power to prove to my girlfriend that I’m faithful now Almost on a daily basis she accuses me of doing stuff behind her back to the point that I’m ready to leave her,she,accuse,me,False,No Distortion,,accuse,3,Interpersonal Beliefs / Roles,No Distortion,
157,1010,My boyfriend and I have been together for a little under 4 years When we first started the relationship I tried to be upfront and honest that I struggled with emotional connection and affection I cared for him so much that I decided to see a therapist to remedy some issues that I had locked away for years Needless to say after I opened the flood gate memories came rushing back,I,open,memories,False,No Distortion,,open,1,Supportive Actions,No Distortion,
158,1011,But during my long distance I met another guy and I fell in love with him We ended it within a couple of months because he is married But even after 2 years I still have feelings for him and he has expressed his love several times and is willing to leave his wife I am confused what I should do I think I love both of them I cant hurt my to-be husband and our families but I also feel I will have a better life with the other I know this is very selfish of me,I,love,both,False,No Distortion,,love,1,Supportive Actions,No Distortion,
159,1012,I recently asked him to spank me as punishment when I disrespect him by fighting with him or raising my voice to him and there are a few other rules we set when I asked him for this My parents did not have a relationship like this it is just something I have felt and needed within myself since I married my husband After he spanks me there is no sex – it is strictly a discipline session,I,marry,husband,False,No Distortion,,marry,4,Social Attachment & Rejection,No Distortion,
160,1016,I have been married for 4 years now We met 6 months before getting married My wife was a virgin when she married me,I,marry,years,False,No Distortion,,marry,4,Social Attachment & Rejection,No Distortion,
161,1016,I have been married for 4 years now We met 6 months before getting married My wife was a virgin when she married me,she,marry,me,False,No Distortion,,marry,4,Social Attachment & Rejection,No Distortion,
162,1016,and we love each other a lot No problems,we,love,other,False,No Distortion,,love,1,Supportive Actions,No Distortion,
163,1016,and we love each other a lot No problems,we,love,problems,False,No Distortion,,love,1,Supportive Actions,No Distortion,
164,1017,I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,He,trust,me,False,No Distortion,,trust,0,Negative Affect / Conflict Emotion,No Distortion,
165,1017,I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,He,trust,time,False,No Distortion,,trust,0,Negative Affect / Conflict Emotion,No Distortion,
166,1017,I’ve been with my boyfriend for 2 years He hasn’t trusted me for a long time and I’m not sure why Ive never cheated He is constantly accusing me everyday about what I’m doinghe doesn’t even trust me to go to my families house or to the store He even calls me names like bitchwhore and many other things he has even put his hands on me before every time we go somewhere together he thinks I’m looking at other men I don’t think he is cheating,He,accuse,me,False,No Distortion,,accuse,3,Interpersonal Beliefs / Roles,No Distortion,
167,1018,I was diagnosed with depression and I’m taking an SSRI for it which has helped quite a bit although I wouldn’t say that I’m “cured” I also had some pretty severe hypochondria-related anxiety that started about nine months ago and lasted for about three months The anxiety is no longer problematic–I still have hypochondriacal thoughts occasionally but I can manage them,which,help,bit,False,No Distortion,,help,0,Negative Affect / Conflict Emotion,No Distortion,
168,1020,My stepdad has mentally & phisically abused me When I was little I was a skinny entergetic little girl,stepdad,abuse,me,False,No Distortion,,abuse,2,Positive Affect / Affection,No Distortion,
169,1023,and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,I,hate,her,False,No Distortion,,hate,1,Supportive Actions,No Distortion,
170,1023,and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,I,hate,time,False,No Distortion,,hate,1,Supportive Actions,No Distortion,
171,1023,and I said if it happens again there will be severe consequences I hated her so much for such a long time and now I don’t trust her at all,I,trust,her,False,No Distortion,,trust,0,Negative Affect / Conflict Emotion,No Distortion,
172,1026,My boyfriend and I dated for four months After we first broke up we started talking again,I,date,months,False,No Distortion,,date,0,Negative Affect / Conflict Emotion,No Distortion,
173,1026,We talked for three months Then I found out that the reason why he broke up with me was because he liked my sister I was really hurt,he,like,sister,False,No Distortion,,like,1,Supportive Actions,No Distortion,
174,1026,but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,I,care,him,False,No Distortion,,care,0,Negative Affect / Conflict Emotion,No Distortion,
175,1026,but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,I,forgive,him,False,No Distortion,,forgive,4,Social Attachment & Rejection,No Distortion,
176,1026,but I still talked to him because I really really cared about him I could forgive him even if he liked my sister,he,like,sister,False,No Distortion,,like,1,Supportive Actions,No Distortion,
177,1028,Okay before I start I’m 20yrs old living with my mother and father and 4 other siblings As far back as I can remember he constantly abused me mentally and physically to the point I’m traumatized and scared all over my body espically my face I don’t want to turn to the police because he is only like that with me alone he is a great father to my siblings However when it comes to me he hates me,he,abuse,me,False,No Distortion,,abuse,2,Positive Affect / Affection,No Distortion,
