id,text_id,context,relationship,relation,relation_cluster,relation_cluster_label,Dominant Distortion,Secondary Distortion (Optional)
41,252, My partner didn't text me all day they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
42,257, My team didn't invite me to lunch they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
43,263, I didn't get a reply to my message they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
44,282, My partner didn't say 'I love you' today they must not love me anymore.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
45,282, My partner didn't say 'I love you' today they must not love me anymore.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
46,285, My colleagues didn't invite me to happy hour they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
47,288, My friend didn't return my book they must not respect me.,"('respect', 'they', 'me')",respect,0,Supportive Actions,General Distortion,
48,291, My colleague didn't share their notes with me they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
49,297, My idea wasn't accepted for the project I must not be innovative.,"('accept', 'idea', 'project')",accept,0,Supportive Actions,General Distortion,
50,301, My friend didn't share their secret with me they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
51,305, My classmate didn't sit next to me they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
52,319, My boyfriend didn't propose yet he must not love me.,"('love', 'he', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
53,320, I didn't get accepted into my first choice college I'm not good enough.,"('accept', 'I', 'college')",accept,0,Supportive Actions,General Distortion,
54,324, My colleague didn't accept my friend request they must not like me.,"('accept', 'colleague', 'request')",accept,0,Supportive Actions,General Distortion,
55,324, My colleague didn't accept my friend request they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
56,347, My proposal wasn't accepted my ideas must not be worth it.,"('accept', 'proposal', 'ideas')",accept,0,Supportive Actions,General Distortion,
57,349, I didn't receive a good morning text they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
58,357, I didn't receive a reply to my love letter they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
59,359, My girlfriend didn't say 'I love you' back she must not love me.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
60,359, My girlfriend didn't say 'I love you' back she must not love me.,"('love', 'she', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
61,366, I wasn't invited to my colleague's wedding they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
62,380, I wasn't invited to the office outing they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
63,388, I wasn't chosen as a bridesmaid the bride must not like me.,"('like', 'bride', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
64,398, I wasn't chosen for the group leader they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
65,401, My coworker didn't include me in the lunch plans they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
66,408, I didn't get any birthday wishes people must not care about me.,"('care', 'people', 'me')",care,0,Supportive Actions,General Distortion,
67,413, My partner didn't compliment my cooking they must not like it.,"('like', 'they', 'it')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
68,425, My partner didn't acknowledge our anniversary they must not love me.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
69,431, My colleague didn't invite me to their housewarming party they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
70,434, I wasn't elected captain of the team they must not respect me.,"('respect', 'they', 'me')",respect,0,Supportive Actions,General Distortion,
71,453, My friend didn't share her news with me first she must not trust me.,"('trust', 'she', 'me')",trust,0,Supportive Actions,General Distortion,
72,461, My family didn't ask for my opinion they must not respect my thoughts.,"('respect', 'they', 'thoughts')",respect,0,Supportive Actions,General Distortion,
73,465, My friend didn't text me back immediately they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
74,472, My neighbor didn't invite me to their party they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
75,483, I wasn't voted class president my peers must not respect me.,"('respect', 'president', 'me')",respect,0,Supportive Actions,General Distortion,
76,485, My colleague didn't support my proposal they must think it's a bad idea.,"('support', 'colleague', 'proposal')",support,0,Supportive Actions,General Distortion,
77,494, I didn't receive a lot of gifts for my birthday people must not care about me.,"('care', 'people', 'me')",care,0,Supportive Actions,General Distortion,
78,507, My cousin didn't choose me as the godparent of their child they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
79,521, I wasn't given the responsibility of the project they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
80,569, My cousin didn't share their secret with me they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
81,581, My partner didn't say 'I love you' today they must not love me anymore.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
82,581, My partner didn't say 'I love you' today they must not love me anymore.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
83,593, My date didn't ask me out again they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
84,615, I wasn't asked to give the presentation they must not believe in my abilities.,"('believe', 'they', 'abilities')",believe,1,Interpersonal Beliefs / Emotions,General Distortion,
85,617, My professor didn't accept my thesis proposal they must think it's a bad idea.,"('accept', 'professor', 'proposal')",accept,0,Supportive Actions,General Distortion,
86,621, My dog didn't greet me at the door he must not love me.,"('love', 'he', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
87,641, My boyfriend didn't text me back instantly he must not care about me.,"('care', 'he', 'me')",care,0,Supportive Actions,General Distortion,
88,651, I didn't win the student election my peers must not respect me.,"('respect', 'peers', 'me')",respect,0,Supportive Actions,General Distortion,
89,657, My girlfriend didn't say 'I love you' back she must not love me.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
90,657, My girlfriend didn't say 'I love you' back she must not love me.,"('love', 'she', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
91,661, My date didn't call me back they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
92,673, My friend didn't ask me to babysit they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
93,675, I didn't get accepted to the art school they must not think I'm talented.,"('accept', 'I', 'school')",accept,0,Supportive Actions,General Distortion,
94,677, My sister didn't confide in me about her problems she must not trust me.,"('confide', 'sister', 'me')",confide,1,Interpersonal Beliefs / Emotions,General Distortion,
95,677, My sister didn't confide in me about her problems she must not trust me.,"('confide', 'sister', 'problems')",confide,1,Interpersonal Beliefs / Emotions,General Distortion,
96,677, My sister didn't confide in me about her problems she must not trust me.,"('trust', 'she', 'me')",trust,0,Supportive Actions,General Distortion,
97,684, My project partner didn't ask for my input they must not respect my ideas.,"('respect', 'they', 'ideas')",respect,0,Supportive Actions,General Distortion,
98,696, My roommate didn't ask for my opinion on the decor they must not care about my taste.,"('care', 'they', 'taste')",care,0,Supportive Actions,General Distortion,
99,698, I wasn't assigned the high-profile client they must not trust my capabilities.,"('trust', 'they', 'capabilities')",trust,0,Supportive Actions,General Distortion,
100,700, My dog didn't come to me first he must like my partner more.,"('like', 'he', 'partner')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
101,704, My friend didn't text me back immediately they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
102,708, My coworker didn't invite me to their lunch outing they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
103,714, I didn't get invited to the press conference they must not respect my journalism.,"('respect', 'they', 'journalism')",respect,0,Supportive Actions,General Distortion,
104,716, My friend didn't ask me to dog sit they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
105,728, My best friend didn't make me their child's godparent they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
106,740, My boyfriend didn't say 'I miss you' he must not care about me.,"('miss', 'I', 'you')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
107,740, My boyfriend didn't say 'I miss you' he must not care about me.,"('care', 'he', 'me')",care,0,Supportive Actions,General Distortion,
108,746, I didn't get accepted into the honors program I must not be smart enough.,"('accept', 'I', 'program')",accept,0,Supportive Actions,General Distortion,
109,748, My coworker didn't invite me to their party they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
110,754, I didn't get the fellowship they must not believe in my research.,"('believe', 'they', 'research')",believe,1,Interpersonal Beliefs / Emotions,General Distortion,
111,756, My best friend didn't ask me to be their wedding planner they must not trust my taste.,"('trust', 'they', 'taste')",trust,0,Supportive Actions,General Distortion,
112,758, I wasn't given the key account at work they must not trust my abilities.,"('trust', 'they', 'abilities')",trust,0,Supportive Actions,General Distortion,
113,760, My friend didn't share their secret with me they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
114,772, My trainer didn't choose me for the sports competition they must not believe in me.,"('believe', 'they', 'me')",believe,1,Interpersonal Beliefs / Emotions,General Distortion,
115,782, I didn't get the scholarship they must not believe in my potential.,"('believe', 'they', 'potential')",believe,1,Interpersonal Beliefs / Emotions,General Distortion,
116,788, My sibling didn't ask for my advice they must not respect my opinion.,"('respect', 'they', 'opinion')",respect,0,Supportive Actions,General Distortion,
117,800, My partner didn't bring me flowers they must not love me.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
118,820, My spouse didn't text me all day they must not miss me.,"('miss', 'they', 'me')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
119,826, I didn't get accepted to the advanced program I must not be smart enough.,"('accept', 'I', 'program')",accept,0,Supportive Actions,General Distortion,
120,828, My friend didn't ask me to house sit they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
121,832, My group didn't elect me as leader they must not respect me.,"('respect', 'they', 'me')",respect,0,Supportive Actions,General Distortion,
122,840, My friend didn't like my social media post they must not be interested in what I do.,"('like', 'friend', 'post')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
123,844, My teammates didn't pass me the ball they must not trust my skills.,"('trust', 'they', 'skills')",trust,0,Supportive Actions,General Distortion,
124,860, My spouse didn't make me coffee this morning they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
125,868, My boss didn't give me feedback they must not care about my progress.,"('care', 'they', 'progress')",care,0,Supportive Actions,General Distortion,
126,872, My group didn't support my idea they must not value my thoughts.,"('support', 'group', 'idea')",support,0,Supportive Actions,General Distortion,
127,884, My colleagues didn't invite me to the team dinner they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
128,888, My roommate didn't ask my opinion on the new paint color they must not respect my input.,"('respect', 'they', 'input')",respect,0,Supportive Actions,General Distortion,
129,892, My friend didn't ask me to pet sit they must not trust me.,"('trust', 'they', 'me')",trust,0,Supportive Actions,General Distortion,
130,894, I didn't get accepted into the Ivy League school I must not be smart enough.,"('accept', 'I', 'school')",accept,0,Supportive Actions,General Distortion,
131,896, My friend didn't 'like' my post they must not care about my life.,"('like', 'friend', 'post')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
132,896, My friend didn't 'like' my post they must not care about my life.,"('care', 'they', 'life')",care,0,Supportive Actions,General Distortion,
133,920, My partner didn't ask about my day they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
134,940, My spouse didn't make dinner tonight they must not love me.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
135,948, My colleague didn't ask for my input on the presentation they must not respect my opinion.,"('respect', 'they', 'opinion')",respect,0,Supportive Actions,General Distortion,
136,954, I didn't get accepted into the master's program I must not be qualified.,"('accept', 'I', 'program')",accept,0,Supportive Actions,General Distortion,
137,960, My partner didn't give me a goodnight kiss they must not love me.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
138,976, My friend didn't like my new profile picture they must not think I'm attractive.,"('like', 'friend', 'picture')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
139,980, My partner didn't say 'I love you' today they must not care about me anymore.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
140,980, My partner didn't say 'I love you' today they must not care about me anymore.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
141,984, My classmates didn't invite me to their graduation party they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
142,986, I didn't get accepted into the advanced mathematics course I must not be smart enough.,"('accept', 'I', 'course')",accept,0,Supportive Actions,General Distortion,
143,988, My coworker didn't ask for my help with the project they must not trust my capabilities.,"('trust', 'they', 'capabilities')",trust,0,Supportive Actions,General Distortion,
144,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times…why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him,"('date', 'I', 'years')",date,0,Supportive Actions,No Distortion,
145,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times…why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him,"('love', 'he', 'me')",love,1,Interpersonal Beliefs / Emotions,No Distortion,
146,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times…why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him,"('trust', 'me', 'him')",trust,0,Supportive Actions,No Distortion,
147,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times…why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him,"('respect', 'he', 'me')",respect,0,Supportive Actions,No Distortion,
148,997, So I’ve been dating on and off this guy for almost 3 years He is 3 years younger than me During our relationship we had always had issues First he wouldn’t call me he would prefer to go out with his friends than me he wouldn’t even remember the day of our anniversary or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me even though he says he loves me Also he has lied to me during this time first once he went to a party and when I asked him if he did he lied to me in my face What bothered me was the fact that he had pictures dancing almost rubbing himself with another girl He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah he would make me trust him again Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again lie to me in my face looking at my eyes After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times…why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him,"('love', 'I', 'him')",love,1,Interpersonal Beliefs / Emotions,No Distortion,
149,998,My parents got divorced in 2004 My mother has never recovered she has severe mood swings i think she may be bipolar When I was six years old in 1998 my father moved our family to Germany because he was in the army I had an amazing childhood When I was twelve in 2004 my father had to go to Iraq My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated But he promised he’d never do it again,"('blame', 'I', 'mom')",blame,1,Interpersonal Beliefs / Emotions,No Distortion,
150,998,My parents got divorced in 2004 My mother has never recovered she has severe mood swings i think she may be bipolar When I was six years old in 1998 my father moved our family to Germany because he was in the army I had an amazing childhood When I was twelve in 2004 my father had to go to Iraq My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated But he promised he’d never do it again,"('blame', 'I', 'everything')",blame,1,Interpersonal Beliefs / Emotions,No Distortion,
151,998,My parents got divorced in 2004 My mother has never recovered she has severe mood swings i think she may be bipolar When I was six years old in 1998 my father moved our family to Germany because he was in the army I had an amazing childhood When I was twelve in 2004 my father had to go to Iraq My mother thought it would be best if she moved my brother and I back to the US where we would have family support I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong I felt like no one understood me mostly because we live in a very remote and rural part of the state When my dad came back he wanted a divorce from my mother A few years earlier my mother had to have surgery on her hip my dad left her in the hospital and met a woman at a bar They hooked up and my mom was devestated But he promised he’d never do it again,"('understand', 'one', 'me')",understand,0,Supportive Actions,No Distortion,
152,999,Hello I have been friend with a guy since grade 6th We were in the same grade and best pals of each other Two years back I realized that I love him unconditionally and what all we shared was not merely friendship but I had other feelings for him First I thought the feelings were mutual and so did all our common friends told me But when I proposed the GUY he refused me and said he never felt so And everybody including his brother and cousin who are my good friends too have taken his feelings for me wrongly He was just a friend to me always and had no such feelings for me He certainly stopped talking to me No contacts at all for 8 months But I still loved him n I still do I was always concerned about him So kept a detail about him through his brother and friends but he fought with them too At a point of time he broke all his ties with everyone and entered a new life,"('love', 'I', 'him')",love,1,Interpersonal Beliefs / Emotions,No Distortion,
